N;Funding Year;Línea de Investigación;Research Lines;Año;Autores;Título;Revista;Ficha de Publicación;DOI;ISSN;Abstract;Acceso;Páginas;Volumen;Index
291.0;2018;Cambio y Uso de Suelo;Suelo;2018;Vargas, C. A., Cuevas, L. A., Silva, N., González, H. E., De Pol-Holz, R., Narváez, D. A.;Influence of Glacier Melting and River Discharges on the Nutrient Distribution and DIC Recycling in the Southern Chilean Patagonia;Journal of Geophysical Research: Biogeosciences;;10.1002/2017JG003907;2169-8953;The Chilean Patagonia constitutes one of the most important and extensive fjord systems worldwide, therefore can be used as a natural laboratory to elucidate the pathway of both organic and inorganic matter in the receiving environment. In this study we use data collected during an intensive oceanographic cruise along the Magellan Strait into the Almirantazgo Fjord in southern Patagonia to evaluate how different sources of dissolved inorganic carbon (DIC) and recycling may impact particulate organic carbon (POC) δ13C and influence the nutrients and carbonate system spatial distribution. The carbonate system presented large spatial heterogeneity. The lowest total alkalinity and DIC were associated to freshwater dilution observed near melting glaciers. The δ13CDIC analysis suggests that most DIC in the upper 50 m depth was not derived from terrestrial organic matter remineralization. 13C-depleted riverine and ice-melting DIC influence the DIC pool along the study area, but due to that DIC concentration from rivers and glaciers is relatively low, atmospheric carbon contribution or biological processes seem to be more relevant. Intense undersaturation of CO2 was observed in high chlorophyll waters. Respired DIC coming from the bottom waters seems to be almost insignificant for the inorganic carbon pool and therefore do not impact significantly the stable carbon isotopic composition of dissolved organic carbon and POC in the upper 50 m depth. Considering the combined effect of cold and low alkalinity waters due to ice melting, our results highlight the importance of these processes in determining corrosive waters for CaCO3 and local acidification processes associated to calving glacier in fjord ecosystems.;http://doi.wiley.com/10.1002/2017JG003907;256-270;Vol.123 is.1;Thomson Reuters ISI
292.0;2018;Agua y Extremos;Extremos;2018;Viale M., Valenzuela R., Garreaud R.D., Ralph F.M.;Impacts of Atmospheric Rivers on Precipitation in Southern South America;Journal of Hydrometeorology;;10.1175/JHM-D-18-0006.1;1525-755X;This study quantifies the impact of atmospheric rivers (ARs) on precipitation in southern South America. An AR detection algorithm was developed based on integrated water vapor transport (IVT) from 6-hourly CFSR reanalysis data over a 16-yr period (2001-16). AR landfalls were linked to precipitation using a comprehensive observing network that spanned large variations in terrain along and across the Andes from 27° to 55°S, including some sites with hourly data. Along the Pacific (west) coast, AR landfalls are most frequent between 38° and 50°S, averaging 35-40 days yr-1. This decreases rapidly to the south and north of this maximum, as well as to the east of the Andes. Landfalling ARs are more frequent in winter/spring (summer/fall) to the north (south) of ~43°S. ARs contribute 45%-60% of the annual precipitation in subtropical Chile (37°-32°S) and 40%-55% along the midlatitude west coast (37°-47°S). These values significantly exceed those in western North America, likely due to the Andes being taller. In subtropical and midlatitude regions, roughly half of all events with top-quartile precipitation rates occur under AR conditions. Median daily and hourly precipitation in ARs is 2-3 times that of other storms. The results of this study extend knowledge of the key roles of ARs on precipitation, weather, and climate in the South American region. They enable comparisons with other areas globally, provide context for specific events, and support local nowcasting and forecasting. © 2018 American Meteorological Society.;http://journals.ametsoc.org/doi/10.1175/JHM-D-18-0006.1;1671-1687;Vol.19 is.10;Thomson Reuters ISI
293.0;2018;Zonas Costeras;Costas;2019;Wilson,ST.,Bange ,H.W, Arévalo-Martínez,D.L. ,Barnes, J, Borges, A.V, Brown, I, Bullister,JohnL, Burgos,M, Capelle,D.W., Casso, M, De la Paz, M,  Farías, L, Fenwick,L, Ferrón,S,Garcia, G, Glockzin, M, Karl, D.M,  Kock,A, Laperriere,S,  Law, C.S, Manning,C.C, Marriner,A,  Myllykangas,J-P., Pohlman,J.W., Rees, A.P, Santoro,A.E, Torres, M, Tortell, PD, Upstill-Goddard,R.C,.Wisegarver, D.P, Zhang,G.L, Rehder, G.;An intercomparison of oceanic methane and nitrous oxide measurements;Biogeosciences;;10.5194/bg-15-5891-2018;1726-4189;Large-scale climatic forcing is impacting oceanic biogeochemical cycles and is expected to influence the water-column distribution of trace gases, including methane and nitrous oxide. Our ability as a scientific community to evaluate changes in the water-column inventories of methane and nitrous oxide depends largely on our capacity to obtain robust and accurate concentration measurements that can be validated across different laboratory groups. This study represents the first formal international intercomparison of oceanic methane and nitrous oxide measurements whereby participating laboratories received batches of seawater samples from the subtropical Pacific Ocean and the Baltic Sea. Additionally, compressed gas standards from the same calibration scale were distributed to the majority of participating laboratories to improve the analytical accuracy of the gas measurements. The computations used by each laboratory to derive the dissolved gas concentrations were also evaluated for inconsistencies (e.g., pressure and temperature corrections, solubility constants). The results from the intercomparison and intercalibration provided invaluable insights into methane and nitrous oxide measurements. It was observed that analyses of seawater samples with the lowest concentrations of methane and nitrous oxide had the lowest precisions. In comparison, while the analytical precision for samples with the highest concentrations of trace gases was better, the variability between the different laboratories was higher: 36% for methane and 27% for nitrous oxide. In addition, the comparison of different batches of seawater samples with methane and nitrous oxide concentrations that ranged over an order of magnitude revealed the ramifications of different calibration procedures for each trace gas. Finally, this study builds upon the intercomparison results to develop recommendations for improving oceanic methane and nitrous oxide measurements, with the aim of precluding future analytical discrepancies between laboratories.;https://www.biogeosciences.net/15/5891/2018/;5891-5907;Vol.15 is.19;Thomson Reuters ISI
294.0;2018;Transversal;Transversal;2018;Xoplaki, E., Luterbacher, J., Wagner, S., Zorita, E., Fleitmann, D., Preiser-Kapeller, J., Sargent, A. M., White, S., Toreti, A., Haldon, J. F., Mordechai, L., Bozkurt, D., Akçer-Ön, S., Izdebski, A.;Modelling Climate and Societal Resilience in the Eastern Mediterranean in the Last Millennium;Human Ecology;;10.1007/s10745-018-9995-9;0300-7839;"This article analyses high-quality hydroclimate proxy records and spatial reconstructions from the Central and Eastern Mediterranean and compares them with two Earth System Model simulations (CCSM4, MPI-ESM-P) for the Crusader period in the Levant (1095–1290 CE), the Mamluk regime in Transjordan (1260–1516 CE) and the Ottoman crisis and Celâlî Rebellion (1580–1610 CE). During the three time intervals, environmental and climatic stress tested the resilience of complex societies. We find that the multidecadal precipitation and drought variations in the Central and Eastern Mediterranean cannot be explained by external forcings (solar variations, tropical volcanism); rather they were driven by internal climate dynamics. Our research emphasises the challenges, opportunities and limitations of linking proxy records, palaeoreconstructions and model simulations to better understand how climate can affect human history.";http://link.springer.com/10.1007/s10745-018-9995-9;363-379;Vol.46 is.3;Thomson Reuters ISI
295.0;2018;Zonas Costeras;Costas;2018;"Yevenes, MA., Figueroa, R., Parra., O
";"Seasonal drought effects on the water quality of the Biobío River, Central Chile
";Environmental Science and Pollution Research;;10.1007/s11356-018-1415-6;0944-1344;Quantifying the effect of droughts on ecosystem functions is essential to the development of coastal zone and river management under a changing climate. It is widely acknowledged that climate change is increasing the frequency and intensity of droughts, which can affect important ecosystem services, such as the regional supply of clean water. Very little is understood about how droughts affect the water quality of Chilean high flow rivers. This paper intends to investigate the effect of an, recently identified, unprecedented drought in Chile (2010–2015), on the Biobío River water quality, (36°45′–38°49′ S and 71°00′–73°20′ W), Central Chile. This river is one of the largest Chilean rivers and it provides abundant freshwater. Water quality (water temperature, pH, dissolved oxygen, electrical conductivity, biological oxygen demand, total suspended solids, chloride, sodium, nutrients, and trace metals), during the drought (2010–2015), was compared with a pre-drought period (2000–2009) over two reaches (upstream and downstream) of the river. Multivariate analysis and seasonal Mann-Kendall trend analyses and a Theil-Sen estimator were employed to analyze trends and slopes of the reaches. Results indicated a significant decreased trend in total suspended solids and a slightly increasing trend in water temperature and EC, major ions, and trace metals (chrome, lead, iron, and cobalt), mainly in summer and autumn during the drought. The reduced variability upstream suggested that nutrient and metal concentrations were more constant than downstream. The results evidenced, due to the close relationship between river discharge and water quality, a slightly decline of the water quality downstream of the Biobío River during drought period, which could be attenuated in a post-drought period. These results displayed that water quality is vulnerable to reductions in flow, through historical and emerging solutes/contaminants and induced pH mobilization. Consequently, seasonal changes and a progressive reduction of river flow affect the ecosystem functionality in this key Chilean river. The outcomes from this research can be used to improve how low flow conditions and the effects of a reduction in the river volume and discharge are assessed, which is the case under the scenario of more frequent drought periods.;http://link.springer.com/10.1007/s11356-018-1415-6;13844-13856;Vol.25 is,14;Thomson Reuters ISI
296.0;2018;Zonas Costeras;Costas;2018;Masotti, I., Aparicio-Rizzo, P., Yevenes, M. A., Garreaud, R., Farias, L.;The influence of river discharge on nutrient export and phytoplankton biomass off the Central Chile coast (33º-37ºS). Seasonal cycle and interannual variability;Frontiers in Marine Science;;;2296-7745;Using in situ hydro-chemical data and MODIS-SeaWiFS ocean color images as a proxy of river plumes and phytoplankton biomass from 2000 to 2014, this study documents the temporal co-variability of river discharge, plume area, nitrate and phosphate export and phytoplankton biomass in the coastal waters off Central Chile (33º-37ºS). Five major rivers (Maipo, Mataquito, Maule, Itata and Biobío) drain into this region with annual mean discharge ranging from 120 to 1000 m3 s-1. River discharge and coastal plume area present a marked seasonal cycle, reaching maximum values during the winter rainy season (June-September). Export of riverine nutrients also peaks in winter, leading to an increase in phytoplankton biomass within the plumes that can be twice larger than the background values in coastal areas away from the river mouths. Wintertime river discharge, plume area and nutrient export are also correlated at interannual time scales. During a recent extended dry period (2010-2014), river discharges, plume areas and nutrient export clearly decreased by about 50% compared to historical values, reducing significantly the size of the chlorophyll pool within plumes off Central Chile during winter. The potential impacts of droughts are discussed in terms of coastal ecology and primary production, a highly relevant issue considering the projections of a dry climate over Central Chile in the future. Systematic evidence of mega-drought effects upon coastal productivity still does not exist, but it remains a priority to further investigate and quantify these impacts.;;;impress;Scopus
297.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Comentario a la Sentencia de la Corte Suprema, de 29 de diciembre de 2017;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-chile-participacion-ciudadana-consulta-indigena/;;vol. published online;Not indexed
298.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Sentencia del Tribunal Ambiental de Santiago, de 5 de enero de 2018;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-chile-participacion-ciudadana-acceso-a-la-justicia/;;vol. published online;Not indexed
299.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Sentencia Corte Suprema, de 31 de agosto de 2017;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-chile-alud-aluvion-indemnizacion/;;vol. published online;Not indexed
300.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Comentario Sentencia Corte Suprema de Colombia, de 5 de abril de 2018;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-colombia-deforestacion-accion-de-jovenes-y-ninos-colombianos/;;vol. published online;Not indexed
301.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Ley Marco sobre Cambio Climático (Perú);Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/legislacion-al-dia-iberoamerica-peru-cambio-climatico/;;vol. published online;Not indexed
302.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Comentario Sentencia Corte Suprema, 22 de mayo de 2018;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-chile-principio-de-prevencion-y-precaucion-vertidos-medio-marino/;;vol. published online;Not indexed
303.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Sentencia Tribunal Constitucional, Proyecto de Ley que “Prohíbe la entrega de bolsas plásticas de comercio en todo el territorio nacional”, 10 de julio de 2018;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-chile-prohibicion-de-comercio-bolsas-de-plastico/;;vol. published online;Not indexed
304.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P.;Comentario Sentencia del Tribunal Administrativo de Boyacá de 9 de agosto de 2018, sobre Páramo de Pisba;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-colombia-mineria-derechos-fundamentales-participacion-ciudadana/;;vol. published online;Not indexed
305.0;2018;Gobernanza e Interfaz entre Ciencia y Política;Gobernanza;2018;Moraga, P., Ortiz, M.;Comentario Sentencia Corte Suprema, 6 de septiembre de 2018;Actualidad Jurídica Ambiental;;;1989-5666;;http://www.actualidadjuridicaambiental.com/jurisprudencia-al-dia-iberoamerica-chile-decreto-de-escasez-hidrica/;;vol. published online;Not indexed
306.0;2018;Ciudades Resilientes;Ciudades;2018;Montedonico, M., Herrera-Neira, F., Marconi, A., Urquiza, A.;Co-construcción en proyectos de generación distribuida con energía solar: participación de la comunidad en el proyecto Ayllu Solar;Estudios Avanzados, 29;;;0718-5014;;http://revistas.usach.cl/ojs/index.php/ideas/article/view/3397;;vol. published online;Not indexed
307.0;2018;Agua y Extremos;Extremos;2018;Zambrano, M., Guosheng, L., Haddad, Z.;Temporal and spatial evaluation of long-term satellite-based precipitation products across the complex topographical and climatic gradients of Chile;Remote Sensing and Modeling of the Atmosphere, Oceans, and Interactions VII;;;978-1-5106-2139-8 978-1-5106-2140-4;;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10782/2513645/Temporal-and-spatial-evaluation-of-long-term-satellite-based-precipitation/10.1117/12.2513645.full;;;Not indexed
308.0;2018;Ciudades Resilientes;Ciudades;2018;Urquiza, A.;The Role of Qualitative Approaches in Developing Long-Term Strategies;World Resources Institute;;;;;https://www.wri.org/climate/expert-perspective/role-qualitative-approaches-developing-long-term-strategies;;;Not indexed
309.0;2018;Ciudades Resilientes;Ciudades;2018;Urquiza, A.;Sociología económica y teoría de sistemas: Sobre La economía de la sociedad de Niklas Luhmann;Cuadernos de Teoría Social, año 3, número 6;;;;;http://culturadigital.udp.cl/index.php/documento/cuaderno-de-teoria-social-n6-la-inquietud-en-los-conceptos-teoria-social-en-primera-persona/;;;Not indexed
310.0;2018;Agua y Extremos, Gobernanza e Interfaz Ciencia y Política;Extremos, Gobernanza;2018;Sapiains, R, Ugarte, A, Aldunce, P.;Los significados de la participación para el cambio climático en Chile;Ambiente y Desarrollo;;10.11144/Javeriana.ayd21-41.spcc;0716-1476;Este artículo analiza los distintos significados del concepto de participación, para avanzar hacia un modelo más inclusivo de gobernanza del cambio climático en Chile. Para ello, se presenta una revisión bibliográfica que discute distintas epistemologías, teorías y definiciones de la participación, con énfasis en las dificultades para su implementación en el contexto chileno. Posteriormente, se revisan los mecanismos de participación ciudadana desplegados en el desarrollo de instrumentos de gobernanza del cambio climático existentes en Chile. Se distinguen tipos de participación utilizados y se identifican experiencias conducidas desde la sociedad civil y la academia. Finalmente, se discuten los alcances y las limitaciones de los modelos de participación implementados y se resalta la importancia de incrementar la influencia de la sociedad civil y de mejorar los mecanismos existentes. Esto se explica por un escenario de cambio climático que posiblemente requerirá una mayor cantidad de actores involucrados en la toma de decisiones, para anticipar posibles divisiones frente al desarrollo de acciones de adaptación o mitigación más radicales, y que al mismo tiempo demandará mayores niveles de responsabilidad, compromiso y acción de la ciudadanía.;http://revistas.javeriana.edu.co/index.php/ambienteydesarrollo/article/view/22189;43-60;Vol.21 is.41;Thomson  Reuters ESCI
311.0;2018;Cambio de Uso de Suelo, Agua y Extremos;Suelo,Extremos;2018;González, M. E., Gómez-González, S., Lara, A., Garreaud, R., Díaz-Hormazabal, I.;The 2010-2015 Megadrought and its influence on the fire regime in central and south-central Chile;Ecosphere;;10.1002/ecs2.2300;2150-8925;Forest ﬁre activity has increased in recent years in central and south-central Chile. Drought conditions have been associated with the increase of large wildﬁres, area burned and longer ﬁre seasons. This study examines the inﬂuence of drought on ﬁre regimes and discusses landscape management opportunities to decrease ﬁre hazard. Speciﬁcally, we investigate the effect of the 2010–2015 Megadrought (MD) compared to 1990–2009 period on ﬁre activity (ﬁre-season length, number of ﬁres and burned area across months, ﬁre sizes, regions and vegetation cover types, simultaneity, and duration of ﬁres) in central and south-central Chile (32°–39° S), using contemporary ﬁre statistics derived from the Chilean Forest Service. For large ﬁre events (>200 ha) the average season length increased by 67 d (44%), comparing 2010–2015 to 1990–2009. Earlier and later ignition dates resulted in extended ﬁre seasons in MD years. During the MD, the number, area burned, simultaneity, and duration of large ﬁres increased signiﬁcantly compared to the control period, including the unprecedented occurrence of large ﬁres during winter. The burned area in large ﬁres increased in all vegetation types, during the MD compared to the control period, especially in the exotic plantation cover type. The regions that were most affected by ﬁre (i.e., total area burned) during the MD wereMaule, B ıo-B ıo, and Araucan ıa (35–39° S) that concentrate >75% of forest plantations in Chile. Although both maximum temperatures and precipitation are drivers of ﬁre activity, a simple attribution analysis indicates that the sustained rainfall deﬁcit during 2010–2015 was the most critical factor in the enhanced ﬁre activity. Future climate change predictions indicate more recurrent, intense, and temporally extended droughts for central and south-central Chile. Under this scenario, land-use planning and ﬁre and forest management strategies must promote a more diverse and less ﬂammable landscape mosaic limiting high load, homogenous, and continuous exotic plantations.;http://doi.wiley.com/10.1002/ecs2.2300;e02300;Vol.9 is.8;Thomson Reuters ISI
312.0;2018;Gobernanza e Interfaz entre Ciencia y Política, Ciudades Resilientes, Agua y Extremos;Gobernanza, Ciudades, Extremos;2018;Arriagada, R., Aldunce, P., Blanco, G., Ibarra, C., Moraga, P., Nahuelhual, L., O'Ryan, R., Urquiza, A., Gallardo, L.;Climate change governance in the Anthropocene: Emergence of Polycentrism in Chile;Elem Sci Anth;;10.1525/elementa.329;2325-1026;;https://www.elementascience.org/article/10.1525/elementa.329/;68;Vol.6 is.1;Thomson  Reuters ISI
313.0;2018;Cambio de Uso de Suelo;Suelo;2018;Gómez-González S., M. González, S. Paula, I. Díaz, A. Lara, M. Delgado-Baquerizo;Temperature and agriculture are largely associated with fire activity in Central Chile across different temporal periods;Forest Ecology and Management;;10.1016/j.foreco.2018.11.041;0378-1127;Wildfires have important ecological and socio-economic implications worldwide. Identifying the major ecological drivers regulating fire activity across space and time is critical to formulating sustainable policies of landscape planning and management under global change scenarios. However, large scale studies quantifying the relative importance of relevant fire drivers across different time periods are largely lacking. We conducted a high-resolution spatial survey in Central Chile and used structural equation models (SEMs) to evaluate the direct and indirect effects of climate, human impact, land uses, and topography on the number of fires and burned area across two distinct periods of time (2000–2005 and 2011–2016). Mean temperature and agricultural use had the highest direct positive effect on the number of fires and burned area in the two studied periods, and thus were the major ecological predictors of fire activity. Human impact was also an important predictor of fire attributes. Topography had multiple indirect effects on fire activity by regulating land use, temperature, and human impact, but direct effects were negligible. Precipitation seasonality, drought and aridity indexes, native forests, and plantations, were less relevant predictors of fire activity. Even so, our SEMs suggested that areas dominated by native forests tended to have lower number of fires than those covered by croplands or plantations. Our results suggest that fire activity in Central Chile will be highly sensitive to increases in human pressure, land use change and warming by climate change. Because the relative importance of the predictors of fire activity was steady over time, the knowledge derived from this study provides critical insights for preventive fire management and landscape planning. The control of stubble burning, native forest restoration and sustainable forestry management could improve social adaptation to a fire-prone future.;https://linkinghub.elsevier.com/retrieve/pii/S0378112718315962;535-543;Vol.433;Thomson  Reuters ISI
314.0;2018;Agua y Extremos;Extremos;2018;Bowman,D., Moreira-Muñoz, A., Kolden, F., Chávez, A., Muñoz, R., Salinas, F., González-Reyes, G., Rocco, N., de la Barrera, F., Williamson, G., Borchers, N., Cifuentes, L., Abatzoglou, F., Johnston;Human–environmental drivers and impacts of the globally extreme 2017 Chilean fires;Ambio;;10.1007/s13280-018-1084-1;0044-7447;In January 2017, hundreds of fires in Mediterranean Chile burnt more than 5000 km2, an area nearly 14 times the 40-year mean. We contextualize these fires in terms of estimates of global fire intensity using MODIS satellite record, and provide an overview of the climatic factors and recent changes in land use that led to the active fire season and estimate the impact of fire emissions to human health. The primary fire activity in late January coincided with extreme fire weather conditions including all-time (1979–2017) daily records for the Fire Weather Index (FWI) and maximum temperature, producing some of the most energetically intense fire events on Earth in the last 15-years. Fire activity was further enabled by a warm moist growing season in 2016 that interrupted an intense drought that started in 2010. The land cover in this region had been extensively modified, with less than 20% of the original native vegetation remaining, and extensive plantations of highly flammable exotic Pinus and Eucalyptus species established since the 1970s. These plantations were disproportionally burnt (44% of the burned area) in 2017, and associated with the highest fire severities, as part of an increasing trend of fire extent in plantations over the past three decades. Smoke from the fires exposed over 9.5 million people to increased concentrations of particulate air pollution, causing an estimated 76 premature deaths and 209 additional admissions to hospital for respiratory and cardiovascular conditions. This study highlights that Mediterranean biogeographic regions with expansive Pinus and Eucalyptus plantations and associated rural depopulation are vulnerable to intense wildfires with wide ranging social, economic, and environmental impacts, which are likely to become more frequent due to longer and more extreme wildfire seasons.;http://link.springer.com/10.1007/s13280-018-1084-1;;;Thomson  Reuters ISI
315.0;2018;Agua y Extremos;Extremos;2018;Yáñez-Morroni, G., Gironás, J., Caneo, M., Delgado, R., Garreaud, R.;Using the Weather Research and Forecasting (WRF) Model for Precipitation Forecasting in an Andean Region with Complex Topography;Atmosphere;;10.3390/atmos9080304;2073-4433;The Weather Research and Forecasting (WRF) model has been successfully used in weather prediction, but its ability to simulate precipitation over areas with complex topography is not optimal. Consequently, WRF has problems forecasting rainfall events over Chilean mountainous terrain and foothills, where some of the main cities are located, and where intense rainfall occurs due to cutoff lows. This work analyzes an ensemble of microphysics schemes to enhance initial forecasts made by the Chilean Weather Agency in the front range of Santiago. We first tested different vertical levels resolution, land use and land surface models, as well as meteorological forcing (GFS/FNL). The final ensemble configuration considered three microphysics schemes and lead times over three rainfall events between 2015 and 2017. Cutoff low complex meteorological characteristics impede the temporal simulation of rainfall properties. With three days of lead time, WRF properly forecasts the rainiest N-hours and temperatures during the event, although more accuracy is obtained when the rainfall is caused by a meteorological frontal system. Finally, the WSM6 microphysics option had the best performance, although further analysis using other storms and locations in the area are needed to strengthen this result.;http://www.mdpi.com/2073-4433/9/8/304;304;Vol.9 is.8;Thomson  Reuters ISI
316.0;2018;Agua y Extremos;Extremos;2018;Barrios, A., Trincado, G., Garreaud, R.;Alternative approaches for estimating missing climate data: application to monthly precipitation records in South-Central Chile;Forest Ecosystems;;10.1186/s40663-018-0147-x;2197-5620;Background :Over the last decades interest has grown on how climate change impacts forest resources. However, one of the main constraints is that meteorological stations are riddled with missing climatic data. This study compared five approaches for estimating monthly precipitation records: inverse distance weighting (IDW), a modification of IDW that includes elevation differences between target and neighboring stations (IDWm), correlation coefficient weighting (CCW), multiple linear regression (MLR) and artificial neural networks (ANN). Methods: A complete series of monthly precipitation records (1995–2012) from twenty meteorological stations located in central Chile were used. Two target stations were selected and their neighboring stations, located within a radius of 25 km (3 stations) and 50 km (9 stations), were identified. Cross-validation was used for evaluating the accuracy of the estimation approaches. The performance and predictive capability of the approaches were evaluated using the ratio of the root mean square error to the standard deviation of measured data (RSR), the percent bias (PBIAS), and the Nash-Sutcliffe efficiency (NSE). For testing the main and interactive effects of the radius of influence and estimation approaches, a two-level factorial design considering the target station as the blocking factor was used. Results: ANN and MLR showed the best statistics for all the stations and radius of influence. However, these approaches were not significantly different with IDWm. Inclusion of elevation differences into IDW significantly improved IDWm estimates. In terms of precision, similar estimates were obtained when applying ANN, MLR or IDWm, and the radius of influence had a significant influence on their estimates, we conclude that estimates based on nine neighboring stations located within a radius of 50 km are needed for completing missing monthly precipitation data in regions with complex topography. Conclusions: It is concluded that approaches based on ANN, MLR and IDWm had the best performance in two sectors located in south-central Chile with a complex topography. A radius of influence of 50 km (9 neighboring stations) is recommended for completing monthly precipitation data.;https://forestecosyst.springeropen.com/articles/10.1186/s40663-018-0147-x;;Vol.5 is.1;Thomson  Reuters ISI
317.0;2018;Agua y Extremos;Extremos;2018;Garreaud, R. D.;Tres niños sorprendentes;Boletín Técnico Instituto de Geofísica del Perú (IGP);;;;;http://intranet.igp.gob.pe/sysppr/results/result_71/Boletin_Tecnico_PPR_El_Nino_IGP_201801.pdf;;Vol.5 is.1;Not indexed
318.0;2018;Agua y Extremos, Cambio de Uso de Suelo;Extremos, Suelo;2018;Alvarez-Garreton, C., Mendoza, P. A., Boisier, J. P., Addor, N., Galleguillos, M., Zambrano-Bigiarini, M., Lara, A., Puelma, C., Cortes, G., Garreaud, R., McPhee, J., Ayala, A.;The CAMELS-CL dataset - links to files. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.894885;PANGAEA. Data Publisher for Earth & Environmental Science;;10.1594/PANGAEA.894885;;;https://doi.pangaea.de/10.1594/PANGAEA.894885;;;Not indexed
319.0;2018;Ciudades Resilientes;Ciudades;2018;Urquiza A., Amigo C., Billi M., Espinosa P.;Participatory Energy Transitions as Boundary Objects: The Case of Chile's Energía2050;Frontiers in Energy Research;;10.3389/fenrg.2018.00134;2296-598X;This paper analyzes the use of “participatory futures” within the context of energy transition, paying special attention to the case of Chile's long-term energy policy. Our main aim is to question the role of “participation” in such a context and particularly, to decouple the operative function of participation from its normative function. Structurally, we argue that the construction of a joint vision of desired energy futures must be understood as a deliberate attempt at governing the energy transition by way of governing the expectations of the actors and systems involved in it. Participatory approaches can promote the co-construction of such energy futures in the form of a boundary-object, able to resonate with and provide a common reference to the actors participating in its creation. On the other hand, participatory approaches can also be a way to make transitions more democratic, subjecting it to a broader influence and control from the citizenship. These two functions of “participation” are always potentially at odds with one another. Democratizing the transition, in fact, would require producing plural, dynamical imaginaries that are responsive and accountable to the public. On the contrary, the need to make transitions governable may close-up such imaginaries and narrow-down the participatory efforts to foster their normalization and acceptability on the part of the most influential actors in the self-government of the transition. To refine and exemplify our proposal, we perform a qualitative, exploratory case study of Chile's E2050 energy policy. Our findings show that “participation” may indeed have been used in the case to align partially conflicting expectations around a collectively-defined boundary object which may then act as a form of contextual, anticipatory and polycentric governance of the transition. However, from a democratic perspective, E2050 appears as a tokenization of the public in support of a pre-eminently technical and monolithic vision enacted by the Energy Ministry and the Consultative Committee. Within this context, the actual influence of the public on the policy and the possibility for political contestation are much more questionable.;https://www.frontiersin.org/article/10.3389/fenrg.2018.00134/full;;Vol.6;Thomson  Reuters ESCI
